Species,Cropland (Low elevation),Native forest,Eucalyptus monoculture,Cropland (Mid elevation),Native forest,Bamboo monoculture,Mixed forest,Cropland (High elevation),Native forest,Japanese cedar monoculture,Mixed forest
Black Baza,,,,Y,,Y,Y,Y,,Y,Y
Mountain Hawk-eagle,,,,,,,,,Y,,
Chinese Sparrowhawk,,,,Y,,,,Y,,Y,
Besra,,,,,,,Y,,,,
Speckled Wood Pigeon,,,,,,,,,,,Y
Wedge-tailed Green Pigeon,,,,,,,,,Y,,
Fork-tailed Drongo-cuckoo,,,,,Y,Y,Y,,Y,Y,Y
Asian Lesser Cuckoo,,,,,Y,,,,Y,Y,Y
Indian Cuckoo,Y,Y,Y,Y,Y,,Y,,,,Y
Himalayan Cuckoo,,Y,Y,,Y,,,,Y,Y,
Collared Owlet,Y,,,Y,,,,,Y,,
Great Barbet,,Y,Y,,Y,,,,Y,,Y
Speckled Piculet,,,,,,,Y,,Y,,Y
Grey-capped Pygmy Woodpecker,,,,,,,,,Y,Y,
Darjeeling Woodpecker,,,,,,,,,Y,,
Bay Woodpecker,,,,,Y,,Y,,Y,,Y
Swinhoe's Minivet,Y,,,Y,Y,,,,,,
Grey-chinned Minivet,,,,,,,,,Y,Y,
Long-tailed Minivet,,,Y,,,,,,Y,,
Short-billed Minivet,,,,,,,,,Y,,
Tiger Shrike,Y,,Y,,,,,,,,
Blyth's Shrike Babbler,,,,,,,Y,,,,Y
Green Shrike Babbler,,,,,Y,,Y,,Y,,
Ashy Drongo,,Y,Y,,Y,,,,,,
Hair-crested Drongo,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Asian Paradise-flycatcher,Y,,Y,,,,,,Y,,
Eurasian Jay,,Y,Y,,Y,Y,Y,,Y,Y,Y
Grey Treepie,,,,,Y,,,,Y,Y,
Grey-headed Canary Flycatcher,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Yellow-bellied Tit,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Green-backed Tit,,,,,,,,Y,Y,Y,Y
Chestnut Bulbul,,,Y,,,,Y,,,,
Black Bulbul,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Pygmy Wren-babbler,,,,,,,Y,,Y,Y,Y
Rufous-faced Warbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Ashy-throated Warbler,,,Y,,,,Y,,Y,,
Chinese Leaf Warbler,,,,,,,,,,Y,Y
Hume's Leaf Warbler,,,,,,,,,Y,,
Large-billed Leaf Warbler,,,,,,,,,Y,,
Blyth's Leaf Warbler,,,,,Y,Y,Y,Y,Y,Y,Y
Claudia's Leaf Warbler,,,,,Y,,,,,Y,
Emei Leaf Warbler,,,,,,,,,Y,,
Kloss's Leaf Warbler,,,Y,,Y,,,,,,Y
Sichuan Leaf Warbler,,,,,,,,,Y,,
Sulphur-breasted Warbler,,,,Y,Y,Y,Y,,Y,Y,Y
Grey-crowned Warbler,,,Y,Y,,,Y,Y,Y,Y,Y
Bianchi's Warbler,,,,,,,,Y,Y,Y,
Martens's Warbler,,,,,,,,,Y,,
Plain-tailed Warbler,,,,,,,,,Y,Y,Y
Chestnut-crowned Warbler,,,,,,,,,Y,,
Dusky Fulvetta,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Black-throated Laughingthrush,,,,,,,,,,,Y
Red-winged Laughingthrush,,,,,,,,,,,Y
