Tree.ID,Date.Surveyed,Block,Plot,Irrigation,Plot.Composition,Resource.Dilution,Richness,PA.Birch,MeanChewerTree,MeanDefolTree,SumMinersTree,MeanMildewTree,MeanPShootLength,MeanLShootLength,H.2018
24_37,3.7.18,1,2,N,Qr,0,1,N,16.89189189,16.89189189,6,18.43589744,38.75,290.25,227
24_35,3.7.18,1,2,N,Qr,0,1,N,8,8.425,9,6.75,59.375,167.5,223
25_36,3.7.18,1,2,N,Qr,0,1,N,11.325,11.525,9,36.71794872,29.75,146.375,233
26_38,3.7.18,1,2,N,Qr,0,1,N,15.85,16.125,14,25.07894737,65.375,125.875,281
34_27,3.7.18,1,6,N,QrBp,0.5,2,Y,9.243243243,9.405405405,4,43.40540541,25.75,67.375,194
37_26,3.7.18,1,6,N,QrBp,0.5,2,Y,13.025,13.6,9,8.075,108.875,95.375,224
33_26,3.7.18,1,6,N,QrBp,0.5,2,Y,18.8,19.375,7,4.58974359,65.75,104.75,144
35_24,3.7.18,1,6,N,QrBp,0.5,2,Y,14.45454545,14.60606061,5,21.675,16,41.875,93
4_34,2.7.18,1,10,N,QrQp,0.5,2,N,17,17,7,18.75,82.25,99.375,211
6_34,2.7.18,1,10,N,QrQp,0.5,2,N,16.5,16.75,11,25.47222222,19.625,75.625,137
7_37,2.7.18,1,10,N,QrQp,0.5,2,N,17.38461538,17.38461538,6,6.666666667,48.5,197.5,246
6_38,2.7.18,1,10,N,QrQp,0.5,2,N,11.825,12.075,7,15.025,48.5,118.125,208
16_24,3.7.18,1,11,N,QrQi,0.5,2,N,15.23684211,15.23684211,4,24.02857143,26.25,51.625,135
17_27,3.7.18,1,11,N,QrQi,0.5,2,N,22.5,22.5,12,1.95,65.25,126,347
15_25,3.7.18,1,11,N,QrQi,0.5,2,N,5.075,5.2,11,0.975,49.625,86.375,199
15_27,3.7.18,1,11,N,QrQi,0.5,2,N,16.68965517,17.31034483,9,15.76923077,16.125,52.25,108
5_52,5.7.18,1,16,N,QrQpBp,0.66,3,Y,12.25,12.375,10,22.525,73,188.375,222
7_56,2.7.18,1,16,N,QrQpBp,0.66,3,Y,6.625,6.875,12,6.5,67.125,22,227
5_55,2.7.18,1,16,N,QrQpBp,0.66,3,Y,18.975,18.975,7,2.736842105,47,85.625,317
7_53,2.7.18,1,16,N,QrQpBp,0.66,3,Y,11.75,11.875,2,9.075,59.5,129.25,183
8_45,2.7.18,1,17,N,QrQiBp,0.66,3,Y,12.225,12.725,6,0,27,12,159
8_48,2.7.18,1,17,N,QrQiBp,0.66,3,Y,14.4,15.875,14,32.46153846,47,128.25,273
3_44,2.7.18,1,17,N,QrQiBp,0.66,3,Y,13.625,14,9,42.675,30.875,165.125,248
5_48,2.7.18,1,17,N,QrQiBp,0.66,3,Y,18.55,19.425,5,11.6,31.875,172.25,276
38_16,3.7.18,1,22,N,QrQpQi,0.66,3,N,3.825,4.225,5,9.725,29.875,209.5,290
33_18,3.7.18,1,22,N,QrQpQi,0.66,3,N,11.7,12.225,25,5.5,30.375,153.875,365
34_17,3.7.18,1,22,N,QrQpQi,0.66,3,N,11.375,12.625,22,2.166666667,16.375,19.625,127
36_15,3.7.18,1,22,N,QrQpQi,0.66,3,N,13.15,15.5,14,3.25,79.5,184,340
28_47,2.7.18,1,26,N,QrQpQiBp,0.75,4,Y,19.71052632,19.71052632,5,13.84210526,12.125,27.625,152
26_46,2.7.18,1,26,N,QrQpQiBp,0.75,4,Y,9.076923077,9.41025641,6,23.81578947,13.875,61.25,176
23_43,2.7.18,1,26,N,QrQpQiBp,0.75,4,Y,17.05128205,18.41025641,12,8.975,35,44.25,181
24_45,2.7.18,1,26,N,QrQpQiBp,0.75,4,Y,14.625,14.75,8,7.324324324,65.875,63.375,160
53_24,3.7.18,2,17,Y,QrQiBp,0.66,3,Y,6.125,7,12,6.175,66.125,179.75,321
55_25,3.7.18,2,17,Y,QrQiBp,0.66,3,Y,26.9,27.35,7,4.525,107.75,134.125,356
