year,site,plot,siteplot,comm,div,div.shrub,plot.size,mu4.plot,pool,CWM_LD,CWM_SLA,CWM_WD,NE,CE,SE,fd_7t,fd_3t,FDis_7t,FDis_3t,PD,MPD,PS,ba,volume,density,deltaba,deltavolume,massc,deltamassc,ba_shrub
2016,A,L13,A:L13,A.AcDa,1,0,1mu,A.B_1_5_1,A2,0,20.51524529,0.499525462,NA,NA,NA,0,0,0,0,0,0,NA,0.765674896,1.36408538,1,0.164079921,0.529063785,0.32118466,0.124489048,NA
2017,A,L13,A:L13,A.AcDa,1,0,1mu,A.B_1_5_1,A2,0,20.51524529,0.499525462,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,-0.765674896,-1.36408538,0,-0.32118466,NA
2013,A,L13,A:L13,A.AcDa,1,0,1mu,A.B_1_5_1,A2,0,20.51524529,0.499525462,NA,NA,NA,0,0,0,0,0,0,NA,0.05880183,0.013980215,7,NA,NA,0.003295322,NA,NA
2015,A,L13,A:L13,A.AcDa,1,0,1mu,A.B_1_5_1,A2,0,20.51524529,0.499525462,NA,NA,NA,0,0,0,0,0,0,NA,0.601594976,0.835021595,2,0.293944388,0.491481521,0.196695612,0.115740469,NA
2014,A,L13,A:L13,A.AcDa,1,0,1mu,A.B_1_5_1,A2,0,20.51524529,0.499525462,NA,NA,NA,0,0,0,0,0,0,NA,0.307650587,0.343540074,3,0.248848757,0.329559858,0.080955143,0.077659821,NA
2017,A,N10,A:N10,A.AcDa|CaCa|CaEy|CaHe|CaSc|ChAx|CiCa|CyGl|CyMy|DaOl|DiGl|KoBi|LiFo|LiGl|MeAz|NySi|QuAc|QuFa|QuSe|RhCh|SaDi|SaMu|SaSe|ScSu,24,8,4mu,A.A_24_1_1,A1,NA,NA,NA,NA,NA,NA,2.650381112,1.904750856,2.440339397,1.610205466,1665.066744,197.0925228,NA,25.39414811,79.6668123,12,3.817358153,18.12509376,18.55080372,4.184063398,0.744185366
2017,A,R18,A:R18,A.AcDa|CaCa|CaEy|CaHe|CaSc|ChAx|CiCa|CyGl|CyMy|DaOl|DiGl|KoBi|LiFo|LiGl|MeAz|NySi|QuAc|QuFa|QuSe|RhCh|SaDi|SaMu|SaSe|ScSu,24,0,1mu,A.A_24_1_2,A1,NA,NA,NA,NA,NA,NA,2.650381112,1.904750856,2.440339397,1.610205466,1665.066744,197.0925228,NA,23.37442667,93.57914352,5,5.848761212,26.26767902,21.57226974,5.957028134,NA
2015,A,O09,A:O09,A.AcDa|CaCa|CaEy|CaHe|CaSc|ChAx|CiCa|CyGl|CyMy|DaOl|DiGl|KoBi|LiFo|LiGl|MeAz|NySi|QuAc|QuFa|QuSe|RhCh|SaDi|SaMu|SaSe|ScSu,24,2,4mu,A.A_24_1_1,A1,NA,NA,NA,NA,NA,NA,2.650381112,1.904750856,2.440339397,1.610205466,1665.066744,197.0925228,NA,6.807671875,21.05323195,7,2.337413966,10.36421397,4.930994612,2.419721042,NA
2017,A,O09,A:O09,A.AcDa|CaCa|CaEy|CaHe|CaSc|ChAx|CiCa|CyGl|CyMy|DaOl|DiGl|KoBi|LiFo|LiGl|MeAz|NySi|QuAc|QuFa|QuSe|RhCh|SaDi|SaMu|SaSe|ScSu,24,2,4mu,A.A_24_1_1,A1,NA,NA,NA,NA,NA,NA,2.650381112,1.904750856,2.440339397,1.610205466,1665.066744,197.0925228,NA,13.38356151,50.33215524,7,3.82475953,15.67677385,11.68541542,3.603805067,0.12622891
2016,A,N09,A:N09,A.AcDa|CaCa|CaEy|CaHe|CaSc|ChAx|CiCa|CyGl|CyMy|DaOl|DiGl|KoBi|LiFo|LiGl|MeAz|NySi|QuAc|QuFa|QuSe|RhCh|SaDi|SaMu|SaSe|ScSu,24,0,4mu,A.A_24_1_1,A1,NA,NA,NA,NA,NA,NA,2.650381112,1.904750856,2.440339397,1.610205466,1665.066744,197.0925228,NA,14.8343263,42.38771819,11,4.63794027,17.17852951,9.892917536,3.982961685,NA
